ASPI,ALPI,ESI,Liquidity,IR,LEI
100,100,100,100,2.75,100
100.414,100.576,100.319,100.973,2.75,100.136
101.381,101.295,100.745,101.462,2.75,100.305
101.796,101.727,101.17,102.838,2.75,100.465
102.072,101.871,101.702,103.035,2.5,100.587
101.519,102.014,102.234,105.16,2.5,100.65
101.381,102.734,102.766,105.874,2.5,100.642
101.796,103.741,103.404,104.958,2.5,100.595
102.624,105.18,103.936,106.57,2.5,100.522
103.177,106.763,104.574,107.628,2.5,100.455
102.901,107.914,105.106,108.723,2.5,100.417
102.624,108.633,105.426,109.527,2.5,100.417
103.591,109.928,105.638,110.305,2.5,100.432
104.558,110.935,105.745,111.527,2.5,100.443
104.972,111.799,105.638,111.998,2.5,100.438
104.972,111.942,105.319,112.293,2.5,100.412
104.558,111.942,105.106,113.401,2.5,100.379
104.558,111.942,104.787,114.925,2.5,100.358
104.558,112.086,104.681,115.742,2.5,100.368
105.525,112.374,104.574,117.487,2.25,100.429
106.492,112.95,104.574,118.988,2.25,100.538
107.044,113.525,104.681,120.375,2,100.691
107.044,113.957,104.787,122.284,2,100.877
106.906,114.388,104.894,124.169,2,101.061
107.597,114.82,105,124.992,2,101.202
108.564,115.54,105,126.899,2,101.298
109.669,116.691,104.894,129.433,1.75,101.352
110.773,118.129,104.574,132.157,1.75,101.364
111.74,119.137,104.043,134.79,1.75,101.343
112.431,120.288,103.511,136.316,1.5,101.302
113.95,121.151,103.085,139.822,1.5,101.269
114.917,122.014,102.66,142.164,1.5,101.25
115.884,123.309,102.34,144.302,1.5,101.245
116.575,124.46,101.915,145.975,1.5,101.239
117.127,125.755,101.383,147.413,1.5,101.227
116.575,126.763,100.851,148.611,1.5,101.21
116.436,127.194,100.319,150.979,1.5,101.195
116.713,127.482,100,152.14,1.5,101.202
116.713,127.626,100,153.93,1.5,101.236
117.127,127.77,100.106,155.636,1.5,101.289
118.094,128.058,100.426,156.732,1.5,101.359
119.613,128.489,100.957,157.911,1.25,101.449
121.547,128.777,101.489,159.096,1.25,101.553
123.204,129.065,101.915,160.853,1.25,101.67
124.862,129.353,102.34,162.639,1.25,101.786
126.519,129.64,102.553,164.154,1.25,101.891
126.796,130.072,102.872,165.724,1.25,102.007
125.967,130.216,103.085,166.922,1.25,102.145
125.691,130.36,103.404,167.54,1.25,102.289
125.691,130.36,103.83,169.043,1.25,102.417
126.657,130.647,104.255,169.764,1.25,102.507
127.072,130.935,104.787,170.791,1.25,102.545
129.006,131.223,105.319,171.244,1.25,102.53
131.63,131.799,105.851,172.392,1.25,102.471
135.083,132.086,106.383,174.012,1.25,102.366
135.359,132.518,106.809,175.163,1.25,102.223
135.773,132.662,107.128,176.733,1.25,102.052
137.293,132.806,107.34,178.267,1.25,101.862
138.122,133.094,107.447,178.227,1.5,101.647
139.365,133.381,107.234,179.058,1.5,101.431
142.265,133.669,106.915,180.016,1.5,101.244
