,x
1,100.3708532
2,100.7233324
3,101.6166152
4,101.9854401
5,102.9930117
6,102.419517
7,102.1985016
8,102.5019439
9,103.1742112
10,103.5515583
11,103.1422186
12,102.7819159
13,103.6098161
14,104.4704075
15,104.7901956
16,104.7738499
17,104.3559881
18,104.3559881
19,104.3396424
20,106.0273049
21,106.9369332
22,108.1740425
23,108.1250056
24,107.9366813
25,108.5840809
26,109.4773636
27,111.2062394
28,112.1570813
29,113.0176727
30,114.3286866
31,115.7627728
32,116.63971
33,117.4676101
34,118.0332814
35,118.4433198
36,117.7717512
37,117.5834271
38,117.8293104
39,117.8129647
40,118.2144809
41,119.1568006
42,121.3852664
43,123.3025969
44,124.9413529
45,126.5801089
46,128.2188649
47,128.4484025
48,127.5963332
49,127.301413
50,127.301413
51,128.2437327
52,128.6289032
53,130.5462338
54,133.1273095
55,136.5767999
56,136.8063376
57,137.2078538
58,138.7236682
59,138.7813578
60,140.002252
61,142.8945934
62,145.369073
63,147.1961532
64,149.0559246
65,149.8177436
66,150.8254458
67,153.0540422
68,159.6907943
69,168.6954301
70,169.9163243
71,166.6638106
72,164.6071928
73,163.0174738
74,162.0012494
75,160.7064504
76,160.7554874
77,162.303993
78,165.6632332
79,170.030045
80,172.22595
81,174.1596263
82,177.5023903
83,180.7799022
84,183.762494
85,185.0409473
86,187.6547143
87,190.6448684
88,188.9570756
89,190.5381419
90,197.3141813
91,207.2774824
92,213.7259104
93,216.5528693
94,218.1589341
95,222.0674998
96,226.5168691
97,233.3668133
98,236.4723467
99,237.2426879
100,239.2993057
101,243.4452326
102,248.7630168
103,254.2200882
104,257.956806
105,261.7424302
106,262.6193673
107,256.9172419
108,253.4530648
109,250.8398884
110,245.8590236
111,254.9775465
112,252.8414287
113,244.6087297
114,251.0057991
115,229.3165733
116,227.5927231
117,223.5083075
118,207.8688273
119,193.0454996
120,191.6179014
121,197.4440178
122,202.0021982
123,204.6859604
124,208.892432
