,x
1,0.043511445
2,0.657883115
3,0.178964907
4,0.086383141
5,-1.473674701
6,-1.038301462
7,-0.402921464
8,0.122365516
9,0.002584418
10,-0.651005793
11,-0.517909248
12,0.809244275
13,0.948194927
14,0.501968193
15,0.182180136
16,-0.215838939
17,0.202022939
18,0.202022939
19,1.185219475
20,0.464407842
21,0.10726571
22,-1.129843573
23,-1.218928274
24,-0.339996238
25,-0.020544957
26,0.191144737
27,-0.432758702
28,-0.416749751
29,-0.586733485
30,-0.378410446
31,-0.845645718
32,-0.755732078
33,-0.893024538
34,-0.906209572
35,-1.868734156
36,-1.335287108
37,-0.870719873
38,-1.116603151
39,-0.685892914
40,-0.120558154
41,0.45645914
42,0.161694931
43,-0.098176953
44,-0.079474387
45,-0.060771921
46,-1.423284754
47,-2.481551706
48,-1.905725516
49,-1.610805328
50,-0.643954428
51,-1.171909534
52,0.376621663
53,1.083600478
54,1.955563439
55,-1.217683938
56,-1.032856879
57,0.08496388
58,-0.602121164
59,0.583283083
60,2.262941427
61,1.856787752
62,1.177888265
63,1.146388196
64,-0.022775435
65,0.18225639
66,1.384499038
67,5.785736829
68,8.126885312
69,0.36534336
70,-3.341738708
71,-2.16104822
72,-1.761888899
73,-1.277142276
74,-1.64213338
75,-0.347334444
76,1.122965646
77,2.889377228
78,3.121297178
79,0.964430086
80,0.702226751
81,1.392859929
82,1.365013026
83,1.12617506
84,-0.475201231
85,0.87065487
86,-0.223775054
87,-4.871387716
88,-2.354865673
89,2.832023847
90,6.000735805
91,2.529147411
92,-1.018728082
93,-2.188228399
94,0.211231629
95,0.860676982
96,3.317384956
97,-0.355763565
98,-2.632567744
99,-1.331085651
100,0.755942939
101,1.996756434
102,2.203833993
103,1.304773717
104,1.435459157
105,-1.383314214
106,-7.094505372
107,-4.845418679
108,-2.695415429
109,-3.595873946
110,2.214531279
111,2.036749631
112,-3.748114764
113,0.621028479
114,-8.785250906
115,-4.881243999
116,-2.189453016
117,-7.766925439
118,-8.363033904
119,-2.044075528
120,6.22386636
121,8.198908209
122,6.56976059
123,6.681769342
124,6.141353419
